"Time (UTCG)","Power (W)","Solar Intensity"
28 Sep 2019 07:04:34.000,0.000,0.000000
28 Sep 2019 07:04:35.000,0.000,0.000000
28 Sep 2019 07:04:36.000,0.000,0.000000
28 Sep 2019 07:04:37.000,0.000,0.000000
28 Sep 2019 07:04:38.000,0.000,0.000000
28 Sep 2019 07:04:39.000,0.000,0.000000
28 Sep 2019 07:04:40.000,0.000,0.000000
28 Sep 2019 07:04:41.000,0.000,0.000000
28 Sep 2019 07:04:42.000,0.000,0.000000
28 Sep 2019 07:04:43.000,0.000,0.000000
28 Sep 2019 07:04:44.000,0.000,0.000000
28 Sep 2019 07:04:45.000,0.000,0.000000
28 Sep 2019 07:04:46.000,0.000,0.000000
28 Sep 2019 07:04:47.000,0.000,0.000000
28 Sep 2019 07:04:48.000,0.000,0.000000
28 Sep 2019 07:04:49.000,0.000,0.000000
28 Sep 2019 07:04:50.000,0.000,0.000000
28 Sep 2019 07:04:51.000,0.000,0.000000
28 Sep 2019 07:04:52.000,0.000,0.000000
28 Sep 2019 07:04:53.000,0.000,0.000000
28 Sep 2019 07:04:54.000,0.000,0.000000
28 Sep 2019 07:04:55.000,0.000,0.000000
28 Sep 2019 07:04:56.000,0.000,0.000000
28 Sep 2019 07:04:57.000,0.000,0.000000
28 Sep 2019 07:04:58.000,0.000,0.000000
28 Sep 2019 07:04:59.000,0.000,0.000000
28 Sep 2019 07:05:00.000,0.000,0.000000
28 Sep 2019 07:05:01.000,0.000,0.000000
28 Sep 2019 07:05:02.000,0.000,0.000000
28 Sep 2019 07:05:03.000,0.000,0.000000
28 Sep 2019 07:05:04.000,0.000,0.000000
28 Sep 2019 07:05:05.000,0.000,0.000000
28 Sep 2019 07:05:06.000,0.000,0.000000
28 Sep 2019 07:05:07.000,0.000,0.000000
28 Sep 2019 07:05:08.000,0.000,0.000000
28 Sep 2019 07:05:09.000,0.000,0.000000
28 Sep 2019 07:05:10.000,0.000,0.000000
28 Sep 2019 07:05:11.000,0.000,0.000000
28 Sep 2019 07:05:12.000,0.000,0.000000
28 Sep 2019 07:05:13.000,0.000,0.000000
28 Sep 2019 07:05:14.000,0.000,0.000000
28 Sep 2019 07:05:15.000,0.000,0.000000
28 Sep 2019 07:05:16.000,0.000,0.000000
28 Sep 2019 07:05:17.000,0.000,0.000000
28 Sep 2019 07:05:18.000,0.000,0.000000
28 Sep 2019 07:05:19.000,0.000,0.000000
28 Sep 2019 07:05:20.000,0.000,0.000000
28 Sep 2019 07:05:21.000,0.000,0.000000
28 Sep 2019 07:05:22.000,0.000,0.000000
28 Sep 2019 07:05:23.000,0.000,0.000000
28 Sep 2019 07:05:24.000,0.000,0.000000
28 Sep 2019 07:05:25.000,0.000,0.000000
28 Sep 2019 07:05:26.000,0.000,0.000000
28 Sep 2019 07:05:27.000,0.000,0.000000
28 Sep 2019 07:05:28.000,0.000,0.000000
28 Sep 2019 07:05:29.000,0.000,0.000000
28 Sep 2019 07:05:30.000,0.000,0.000000
28 Sep 2019 07:05:31.000,0.000,0.000000
28 Sep 2019 07:05:32.000,0.000,0.000000
28 Sep 2019 07:05:33.000,0.000,0.000000
28 Sep 2019 07:05:34.000,0.000,0.000000
28 Sep 2019 07:05:35.000,0.000,0.000000
28 Sep 2019 07:05:36.000,0.000,0.000000
28 Sep 2019 07:05:37.000,0.000,0.000000
28 Sep 2019 07:05:38.000,0.000,0.000000
28 Sep 2019 07:05:39.000,0.000,0.000000
28 Sep 2019 07:05:40.000,0.000,0.000000
28 Sep 2019 07:05:41.000,0.000,0.000000
28 Sep 2019 07:05:42.000,0.000,0.000000
28 Sep 2019 07:05:43.000,0.000,0.000000
28 Sep 2019 07:05:44.000,0.000,0.000000
28 Sep 2019 07:05:45.000,0.000,0.000000
28 Sep 2019 07:05:46.000,0.000,0.000000
28 Sep 2019 07:05:47.000,0.000,0.000000
28 Sep 2019 07:05:48.000,0.000,0.000000
28 Sep 2019 07:05:49.000,0.000,0.000000
28 Sep 2019 07:05:50.000,0.000,0.000000
28 Sep 2019 07:05:51.000,0.000,0.000000
28 Sep 2019 07:05:52.000,0.000,0.000000
28 Sep 2019 07:05:53.000,0.000,0.000000
28 Sep 2019 07:05:54.000,0.000,0.000000
28 Sep 2019 07:05:55.000,0.000,0.000000
28 Sep 2019 07:05:56.000,0.000,0.000000
28 Sep 2019 07:05:57.000,0.000,0.000000
28 Sep 2019 07:05:58.000,0.000,0.000000
28 Sep 2019 07:05:59.000,0.000,0.000000
28 Sep 2019 07:06:00.000,0.000,0.000000
28 Sep 2019 07:06:01.000,0.000,0.000000
28 Sep 2019 07:06:02.000,0.000,0.000000
28 Sep 2019 07:06:03.000,0.000,0.000000
28 Sep 2019 07:06:04.000,0.000,0.000000
28 Sep 2019 07:06:05.000,0.000,0.000000
28 Sep 2019 07:06:06.000,0.000,0.000000
28 Sep 2019 07:06:07.000,0.000,0.000000
28 Sep 2019 07:06:08.000,0.000,0.000000
28 Sep 2019 07:06:09.000,0.000,0.000000
